HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.image_url,Answer.TranscriptionTexts,Approve,Reject
375VSR8FVW3QDKP3PBBJHNR927AZR6,3496Z8XDHMD731SQ4AEC009514RI2Z,Create instructions for making a scene of blocks,"Given a visual layout of blocks, give a sequence of commands for how you would tell someone to create this layout.","instructions,commands,blocks",$0.33,Mon Oct 12 10:21:50 PDT 2015,5,BatchId:2120678;,10800,43200,Mon Oct 12 13:36:06 PDT 2015,,,3TMSXRD2X7U1C4JA6XHY0CAY5BHW1Q,A1NGGAVIGC9O7V,Approved,Mon Oct 12 12:24:11 PDT 2015,Mon Oct 12 12:25:36 PDT 2015,Tue Oct 13 00:25:36 PDT 2015,Mon Oct 12 22:23:26 PDT 2015,,,85,100% (109/109),100% (109/109),100% (109/109),http://nlp.stanford.edu/mkayser/images/generate_images.2015_10_12.01/img_0961.gif,"Place a horizontal row of five blocks.
Place one block below the second block from the right of that row.
Place three blocks above the middle block in the original row of five blocks.
Place one block to the right of the top block in the column of four blocks you just created.",X,
3ZXV7Q5FJBIG219K62RHP0C5Q1EFCT,3496Z8XDHMD731SQ4AEC009514RI2Z,Create instructions for making a scene of blocks,"Given a visual layout of blocks, give a sequence of commands for how you would tell someone to create this layout.","instructions,commands,blocks",$0.33,Mon Oct 12 10:21:36 PDT 2015,5,BatchId:2120678;,10800,43200,Mon Oct 19 10:21:36 PDT 2015,,,3V5Q80FXIYLBARZIFH6A0Y96ZO0327,A18I566TMVVSFQ,Approved,Mon Oct 12 12:30:23 PDT 2015,Mon Oct 12 12:31:16 PDT 2015,Tue Oct 13 00:31:16 PDT 2015,Mon Oct 12 22:24:51 PDT 2015,,,53,100% (107/107),100% (90/90),100% (90/90),http://nlp.stanford.edu/mkayser/images/generate_images.2015_10_12.01/img_0146.gif,"Working from bottom to top, first place a row of five blocks in a row, side by side.
Over the middle block of the row of five, place a vertical column of two blocks.
Over the single block you just placed, place a row of three blocks, side by side, letting two of them overhang the left side of the single block.",X,
3ZXV7Q5FJBIG219K62RHP0C5Q1EFCT,3496Z8XDHMD731SQ4AEC009514RI2Z,Create instructions for making a scene of blocks,"Given a visual layout of blocks, give a sequence of commands for how you would tell someone to create this layout.","instructions,commands,blocks",$0.33,Mon Oct 12 10:21:36 PDT 2015,5,BatchId:2120678;,10800,43200,Mon Oct 19 10:21:36 PDT 2015,,,30IQTZXKAL0GUF3IKJ9KOQ5V9L9X09,A31BENEKICWUVP,Approved,Mon Oct 12 11:39:14 PDT 2015,Mon Oct 12 13:21:57 PDT 2015,Tue Oct 13 01:21:57 PDT 2015,2015-10-13 08:25:18 UTC,,,6163,100% (41/41),100% (41/41),100% (41/41),http://nlp.stanford.edu/mkayser/images/generate_images.2015_10_12.01/img_0146.gif,"Place four blocks in a vertical line.
Place two blocks each horizontally to the left and the right of the bottom block in the vertical line.
Place two blocks horizontally in a line from the right of the top block in the vertical line.",X,
3R5OYNIC2C39FV0P6RICQ4QDGT0TPS,3496Z8XDHMD731SQ4AEC009514RI2Z,Create instructions for making a scene of blocks,"Given a visual layout of blocks, give a sequence of commands for how you would tell someone to create this layout.","instructions,commands,blocks",$0.33,Mon Oct 12 10:21:28 PDT 2015,5,BatchId:2120678;,10800,43200,Mon Oct 19 10:21:28 PDT 2015,,,323Q6SJS8JAA5TITIXAJOB45RXBFHY,AEHXJIW38LJS4,Approved,Mon Oct 12 10:44:42 PDT 2015,Mon Oct 12 10:59:58 PDT 2015,Mon Oct 12 22:59:58 PDT 2015,2015-10-13 06:00:19 UTC,,,916,100% (3/3),100% (3/3),100% (3/3),http://nlp.stanford.edu/mkayser/images/generate_images.2015_10_12.01/img_0032.gif,"Lay down 5 blocks in a vertical column.
Lay down 4 blocks in a vertical column to the left of the column you just placed, aligned at the top.
Lay 1 block to the left of that column, skipping one spot.",X,
3R5OYNIC2C39FV0P6RICQ4QDGT0TPS,3496Z8XDHMD731SQ4AEC009514RI2Z,Create instructions for making a scene of blocks,"Given a visual layout of blocks, give a sequence of commands for how you would tell someone to create this layout.","instructions,commands,blocks",$0.33,Mon Oct 12 10:21:28 PDT 2015,5,BatchId:2120678;,10800,43200,Mon Oct 19 10:21:28 PDT 2015,,,3E4GGUZ1T9LH6P7P0NY9HKQ8AASK25,A21YQXPL0SNNR2,Approved,Mon Oct 12 13:24:07 PDT 2015,Mon Oct 12 13:25:04 PDT 2015,Tue Oct 13 01:25:04 PDT 2015,Mon Oct 12 22:24:22 PDT 2015,,,57,100% (175/175),100% (175/175),100% (175/175),http://nlp.stanford.edu/mkayser/images/generate_images.2015_10_12.01/img_0032.gif,"Start with any block, if a block is already filled in, keep it filled in
Put a block to the right of the last block
Put a block below the last block
Put a block to the left of the last block
Put a block to the left of the last block
Put a block to the right of the last block
Put a block below the last block
Put a block below the last block
Put a block to the right of the last block
Put a block above the last block
Put a block below the last block
Put a block below the last block",X,
3NBFJK3IOHCNPQ2I7R6Q2L6YGUWOGX,3496Z8XDHMD731SQ4AEC009514RI2Z,Create instructions for making a scene of blocks,"Given a visual layout of blocks, give a sequence of commands for how you would tell someone to create this layout.","instructions,commands,blocks",$0.33,Mon Oct 12 10:21:38 PDT 2015,5,BatchId:2120678;,10800,43200,Mon Oct 12 13:35:31 PDT 2015,,,3FIJLY1B6VY2IAGH1AIOXK6WDO4PFW,A24L9F9PD7ADP7,Approved,Mon Oct 12 13:27:32 PDT 2015,Mon Oct 12 13:47:54 PDT 2015,Tue Oct 13 01:47:54 PDT 2015,2015-10-13 08:50:16 UTC,,,1222,100% (21/21),100% (21/21),100% (21/21),http://nlp.stanford.edu/mkayser/images/generate_images.2015_10_12.01/img_0802.gif,"Place five blocks horizontally in a row
Think of these blocks as numbers 1,2,3,4,5 from the left side
Place two blocks vertically under block 1 from the horizontal  row
Place one block vertically under block 4 from the horizontal row 
Now place two blocks vertically on top of block 4 from the horizontal row",X,
3NBFJK3IOHCNPQ2I7R6Q2L6YGUWOGX,3496Z8XDHMD731SQ4AEC009514RI2Z,Create instructions for making a scene of blocks,"Given a visual layout of blocks, give a sequence of commands for how you would tell someone to create this layout.","instructions,commands,blocks",$0.33,Mon Oct 12 10:21:38 PDT 2015,5,BatchId:2120678;,10800,43200,Mon Oct 12 13:35:31 PDT 2015,,,3TR2532VIQOAD6K854A06I77BQK6JZ,A2WKZI3JQCE3Z6,Approved,Mon Oct 12 12:02:58 PDT 2015,Mon Oct 12 12:09:47 PDT 2015,Tue Oct 13 00:09:47 PDT 2015,Mon Oct 12 22:24:11 PDT 2015,,,409,100% (134/134),100% (134/134),100% (134/134),http://nlp.stanford.edu/mkayser/images/generate_images.2015_10_12.01/img_0802.gif,"Place a block.
Place one underneath it.
Move down and place 5 blocks, with the 4th under the block in the prior row.
Move down and place blocks under the 1st and 4th blocks in the prior row.
Move down and place a block under the 1st block of the prior row.",X,
3NZ1E5QA6ZV5QZOPMQIDS4FAJMZB5Y,3496Z8XDHMD731SQ4AEC009514RI2Z,Create instructions for making a scene of blocks,"Given a visual layout of blocks, give a sequence of commands for how you would tell someone to create this layout.","instructions,commands,blocks",$0.33,Mon Oct 12 10:21:24 PDT 2015,5,BatchId:2120678;,10800,43200,Mon Oct 19 10:21:24 PDT 2015,,,3YMU66OBIO2GJTEOTHG16W4HSCHHG5,A1MYLQQL8BBOYT,Approved,Mon Oct 12 11:45:35 PDT 2015,Mon Oct 12 11:46:11 PDT 2015,Mon Oct 12 23:46:11 PDT 2015,Mon Oct 12 22:24:12 PDT 2015,,,36,100% (100/100),100% (100/100),100% (100/100),http://nlp.stanford.edu/mkayser/images/generate_images.2015_10_12.01/img_0200.gif,"Place a column of five blocks.
To the left of the first (highest) block, place a row of two blocks.
To the left of the fourth block, place a row of two blocks.
To the left of the fifth block, place a block.",X,
3NZ1E5QA6ZV5QZOPMQIDS4FAJMZB5Y,3496Z8XDHMD731SQ4AEC009514RI2Z,Create instructions for making a scene of blocks,"Given a visual layout of blocks, give a sequence of commands for how you would tell someone to create this layout.","instructions,commands,blocks",$0.33,Mon Oct 12 10:21:24 PDT 2015,5,BatchId:2120678;,10800,43200,Mon Oct 19 10:21:24 PDT 2015,,,3U088ZLJVLN15FYSAEDYM7RO0JE0WU,A2O7H7VXLFN6BP,Approved,Mon Oct 12 12:59:58 PDT 2015,Mon Oct 12 13:00:29 PDT 2015,Tue Oct 13 01:00:29 PDT 2015,Mon Oct 12 22:24:12 PDT 2015,,,31,100% (54/54),100% (54/54),100% (54/54),http://nlp.stanford.edu/mkayser/images/generate_images.2015_10_12.01/img_0200.gif,"Place 1 block somewhere near the middle of the grid.
Place 2 blocks to the right of it.
Find the rightmost block.
Place 4 blocks under it.
Find the second lowest block.
Place 2 blocks to the left of it.
Find the lowest block.
Place 1 block to the left of it.",X,
3NKW03WTLM1M7O5Y192CDTNMPJ4QW6,3496Z8XDHMD731SQ4AEC009514RI2Z,Create instructions for making a scene of blocks,"Given a visual layout of blocks, give a sequence of commands for how you would tell someone to create this layout.","instructions,commands,blocks",$0.33,Mon Oct 12 10:21:31 PDT 2015,5,BatchId:2120678;,10800,43200,Mon Oct 12 13:35:47 PDT 2015,,,34FNN24DCN34PRFTML1YOZ8VSZQ5YK,A1T6EY2JB6S5ZZ,Approved,Mon Oct 12 13:09:57 PDT 2015,Mon Oct 12 13:13:22 PDT 2015,Tue Oct 13 01:13:22 PDT 2015,Mon Oct 12 23:43:14 PDT 2015,,,205,100% (40/40),100% (40/40),100% (40/40),http://nlp.stanford.edu/mkayser/images/generate_images.2015_10_12.01/img_0085.gif,"Place five blocks going right. 
Place one block going down from the third to last block of the previous set.
Place three blocks going down from the last block in the first set.
Place one block going left from the last block in the previous set.",X,
3NKW03WTLM1M7O5Y192CDTNMPJ4QW6,3496Z8XDHMD731SQ4AEC009514RI2Z,Create instructions for making a scene of blocks,"Given a visual layout of blocks, give a sequence of commands for how you would tell someone to create this layout.","instructions,commands,blocks",$0.33,Mon Oct 12 10:21:31 PDT 2015,5,BatchId:2120678;,10800,43200,Mon Oct 12 13:35:47 PDT 2015,,,3M0BCWMB8WQ2P2128UAN6ON7RN6BWM,A1NGGAVIGC9O7V,Approved,Mon Oct 12 12:06:50 PDT 2015,Mon Oct 12 13:37:46 PDT 2015,Tue Oct 13 01:37:46 PDT 2015,Mon Oct 12 22:24:11 PDT 2015,,,5456,100% (109/109),100% (109/109),100% (109/109),http://nlp.stanford.edu/mkayser/images/generate_images.2015_10_12.01/img_0085.gif,"Place a horizontal row of five blocks.
Place one block below the center block.
Place three blocks below the block farthest to the right in the original row.
Place one block to the left of the bottom block in the column of four blocks you just created.",X,
3W9XHF7WGKP84439TZD4UN4EMJUTKR,3496Z8XDHMD731SQ4AEC009514RI2Z,Create instructions for making a scene of blocks,"Given a visual layout of blocks, give a sequence of commands for how you would tell someone to create this layout.","instructions,commands,blocks",$0.33,Mon Oct 12 10:21:26 PDT 2015,5,BatchId:2120678;,10800,43200,Mon Oct 19 10:21:26 PDT 2015,,,3NXNZ5RS1BR4BUL422OFN2T0AWV979,A3TMUAPCRFG63N,Approved,Mon Oct 12 12:11:58 PDT 2015,Mon Oct 12 12:13:04 PDT 2015,Tue Oct 13 00:13:04 PDT 2015,Mon Oct 12 22:24:40 PDT 2015,,,66,100% (110/110),100% (110/110),100% (110/110),http://nlp.stanford.edu/mkayser/images/generate_images.2015_10_12.01/img_0228.gif,"place five blocks horizontally
place one block above the fourth horizontal block
place one block above the last horizontal block
place one block below the first horizontal block
place two blocks above the first horizontal block",X,
3W9XHF7WGKP84439TZD4UN4EMJUTKR,3496Z8XDHMD731SQ4AEC009514RI2Z,Create instructions for making a scene of blocks,"Given a visual layout of blocks, give a sequence of commands for how you would tell someone to create this layout.","instructions,commands,blocks",$0.33,Mon Oct 12 10:21:26 PDT 2015,5,BatchId:2120678;,10800,43200,Mon Oct 19 10:21:26 PDT 2015,,,3XIQGXAUMD2UCQ325IUT35FIHZJX7D,A1JJ5UVU2ZQMRV,Approved,Mon Oct 12 12:04:38 PDT 2015,Mon Oct 12 12:10:15 PDT 2015,Tue Oct 13 00:10:15 PDT 2015,2015-10-13 07:10:18 UTC,,,337,100% (12/12),100% (12/12),100% (12/12),http://nlp.stanford.edu/mkayser/images/generate_images.2015_10_12.01/img_0228.gif,"place five blocks in a row from left to right
upon the first block at the right side, place two block one above the other and place one block under it
upon the fourth block, place one block
upon the fifth block, place one block",X,
3WJGKMRWVI3J4HVOFWWR109KEOYDCG,3496Z8XDHMD731SQ4AEC009514RI2Z,Create instructions for making a scene of blocks,"Given a visual layout of blocks, give a sequence of commands for how you would tell someone to create this layout.","instructions,commands,blocks",$0.33,Mon Oct 12 10:21:50 PDT 2015,5,BatchId:2120678;,10800,43200,Mon Oct 12 13:36:05 PDT 2015,,,32RIADZISTYPXMZK9AQZ1LEGBIZS4O,A1MJVTR0PCKBWW,Approved,Mon Oct 12 13:12:20 PDT 2015,Mon Oct 12 13:41:43 PDT 2015,Tue Oct 13 01:41:43 PDT 2015,Mon Oct 12 22:24:41 PDT 2015,,,1763,100% (56/56),100% (56/56),100% (56/56),http://nlp.stanford.edu/mkayser/images/generate_images.2015_10_12.01/img_0956.gif,"place 4 blocks in a row
place 3 block above 1st block of original row
place 1 block below 1st block of original row
place 2 blocks above 3rd block of original row",X,
3WJGKMRWVI3J4HVOFWWR109KEOYDCG,3496Z8XDHMD731SQ4AEC009514RI2Z,Create instructions for making a scene of blocks,"Given a visual layout of blocks, give a sequence of commands for how you would tell someone to create this layout.","instructions,commands,blocks",$0.33,Mon Oct 12 10:21:50 PDT 2015,5,BatchId:2120678;,10800,43200,Mon Oct 12 13:36:05 PDT 2015,,,3I2PTA7R3UOYY89A2YOAD2OBQG6KQJ,A24ZCFIA6MPZ84,Approved,Mon Oct 12 13:26:43 PDT 2015,Mon Oct 12 16:17:16 PDT 2015,Tue Oct 13 04:17:16 PDT 2015,2015-10-13 11:20:17 UTC,,,10233,100% (68/68),100% (68/68),100% (68/68),http://nlp.stanford.edu/mkayser/images/generate_images.2015_10_12.01/img_0956.gif,"place a row of four blocks in the middle of the page
place a column of three blocks on top of the left most block
place one block on the bottom of the left most block
place a column of two blocks on the second block form the left most block of the row of four",X,
3RQVKZ7ZRKDQPQ2CRQ4ZPVQ2GMI273,3496Z8XDHMD731SQ4AEC009514RI2Z,Create instructions for making a scene of blocks,"Given a visual layout of blocks, give a sequence of commands for how you would tell someone to create this layout.","instructions,commands,blocks",$0.33,Mon Oct 12 10:21:40 PDT 2015,5,BatchId:2120678;,10800,43200,Mon Oct 12 13:35:37 PDT 2015,,,3D3VGR7TA19SEBG3U7LB16HEBGOR3I,A2AWQIK6VWMKUT,Approved,Mon Oct 12 13:32:24 PDT 2015,Mon Oct 12 13:33:50 PDT 2015,Tue Oct 13 01:33:50 PDT 2015,2015-10-13 08:35:20 UTC,,,86,100% (17/17),100% (17/17),100% (17/17),http://nlp.stanford.edu/mkayser/images/generate_images.2015_10_12.01/img_0827.gif,"Place four blocks to make a square
Place one block on the right of top-left block of square shape
Place two blocks vertically to the right of top-right block of square shape
Place three blocks vertically to the right of the top block of previous column",X,
3RQVKZ7ZRKDQPQ2CRQ4ZPVQ2GMI273,3496Z8XDHMD731SQ4AEC009514RI2Z,Create instructions for making a scene of blocks,"Given a visual layout of blocks, give a sequence of commands for how you would tell someone to create this layout.","instructions,commands,blocks",$0.33,Mon Oct 12 10:21:40 PDT 2015,5,BatchId:2120678;,10800,43200,Mon Oct 12 13:35:37 PDT 2015,,,384PI804XTV8YYHJQ93XPIO3U6M0SJ,AOAZMLP27GD81,Approved,Mon Oct 12 13:25:23 PDT 2015,Mon Oct 12 15:12:08 PDT 2015,Tue Oct 13 03:12:08 PDT 2015,Mon Oct 12 22:24:25 PDT 2015,,,6405,100% (98/98),100% (98/98),100% (98/98),http://nlp.stanford.edu/mkayser/images/generate_images.2015_10_12.01/img_0827.gif,"Place four blocks horizontally
Place a block beneath the second block from the left
Place a block beneath the second block from the right
Place a block over the rightmost block
Place a block to the right of the previous block
Place two blocks vertically above the previous block",X,
38B7Q9C28GZILA96TPEMT4YKRH7962,3496Z8XDHMD731SQ4AEC009514RI2Z,Create instructions for making a scene of blocks,"Given a visual layout of blocks, give a sequence of commands for how you would tell someone to create this layout.","instructions,commands,blocks",$0.33,Mon Oct 12 10:21:46 PDT 2015,5,BatchId:2120678;,10800,43200,Mon Oct 12 13:35:53 PDT 2015,,,3R6BYFZZP867RJI8N1S5RXSZFNAXFP,A1MYLQQL8BBOYT,Approved,Mon Oct 12 13:11:40 PDT 2015,Mon Oct 12 13:14:14 PDT 2015,Tue Oct 13 01:14:14 PDT 2015,Mon Oct 12 22:23:31 PDT 2015,,,154,100% (100/100),100% (100/100),100% (100/100),http://nlp.stanford.edu/mkayser/images/generate_images.2015_10_12.01/img_0906.gif,"Place a column of four blocks.
To the left of the first (top) block, place a block.
To the left of the third block, place a block.
To the right of the third block, place a block.
To the left of the fourth block, place a block.
To the right of the fourth block, place a row of two blocks.",X,
